Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread
"Windstream Standard, LLC",GEORGIA,3708.79650494102,Fiber,1000,800.0,inf,99.99,0.0,12.99,112.98,0.0
"Windstream Standard, LLC",GEORGIA,3708.79650494102,Cable,1000,25.0,inf,99.99,0.0,12.99,112.98,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,400,10.0,1229.0,92.0,0.0,0.0,92.0,0.0
"Windstream Standard, LLC",GEORGIA,674.326637262003,DSL,100,8.0,inf,69.99,0.0,12.99,82.98,0.0
"Windstream Standard, LLC",GEORGIA,674.326637262003,DSL,300,41.0,inf,69.99,0.0,12.99,82.98,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,75,75.0,1229.0,62.0,0.0,0.0,62.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,200,10.0,1229.0,82.0,0.0,0.0,82.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,1200,200.0,1229.0,122.0,0.0,0.0,122.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,200,100.0,1229.0,82.0,0.0,0.0,82.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,400,100.0,1229.0,92.0,0.0,0.0,92.0,0.0
"Knology of Alabama, Inc.",GEORGIA,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",GEORGIA,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",GEORGIA,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
Delta Communications,GEORGIA,3708.79650494102,Fiber,250,25.0,inf,70.0,0.0,3.77,73.77,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,317841.6125,Cable,2000,200.0,1229.0,130.0,0.0,0.0,130.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,200,10.0,1229.0,82.0,0.0,0.0,82.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,1200,35.0,1229.0,122.0,0.0,0.0,122.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,158920.80625,Cable,75,10.0,1229.0,62.0,0.0,0.0,62.0,0.0
"Knology of Alabama, Inc.",GEORGIA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,406.545316500427,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Charter Communications, Inc.",HAWAII,260531.3,Cable,500,20.0,inf,99.99,0.0,0.0,99.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700769,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,406.545316500427,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,406.545316500427,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700769,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Charter Communications, Inc.",HAWAII,260531.3,Cable,1000,35.0,inf,119.99,0.0,0.0,119.99,0.0
"Charter Communications, Inc.",HAWAII,260531.3,Cable,300,10.0,inf,79.99,0.0,0.0,79.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,Fiber,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,11,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,7317.81569700768,Fiber,940,500.0,inf,94.99,0.0,0.0,94.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,DSL,20,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,750,300.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,Fiber,7,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,3658.90784850384,Fiber,500,500.0,inf,74.99,0.0,0.0,74.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,609.81797475064,DSL,15,1.0,inf,49.99,0.0,0.0,49.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,914.726962125961,Fiber,25,3.0,inf,59.99,0.0,0.0,59.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,1219.63594950128,DSL,50,3.0,inf,69.99,0.0,0.0,69.99,0.0
"Hawaiian Telcom, Inc.",HAWAII,2439.27189900256,Fiber,300,300.0,inf,69.99,0.0,0.0,69.99,0.0
Lumen Technologies Inc.,IDAHO,2008.80673076923,DSL,3,0.51,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,2008.80673076923,DSL,30,1.5,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,40,3.0,inf,50.0,0.0,0.0,50.0,0.0
"T-Mobile USA, Inc.",IDAHO,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,300,20.0,inf,70.0,2.75,0.0,72.75,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,30,1.5,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,940,50.0,5000.0,85.0,0.0,0.0,85.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,40.0,1500.0,95.0,2.75,0.0,97.75,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,3,0.51,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,30.0,5000.0,65.0,2.75,0.0,67.75,0.0
Lumen Technologies Inc.,IDAHO,2176.20729166667,DSL,100,10.0,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,400,30.0,1200.0,85.0,2.75,0.0,87.75,0.0
"TDS METROCOM, LLC",IDAHO,10674.1635134302,Fiber,5000,5000.0,inf,225.0,0.0,2.99,227.99,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,20,1.5,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,60,5.0,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,940,50.0,5000.0,80.0,2.75,0.0,82.75,0.0
Lumen Technologies Inc.,IDAHO,26114.4875,Fiber,200,200.0,inf,30.0,0.0,0.0,30.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,940,50.0,5000.0,80.0,2.75,0.0,82.75,0.0
Lumen Technologies Inc.,IDAHO,2176.20729166667,Fiber,100,100.0,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,300,20.0,5000.0,65.0,0.0,0.0,65.0,0.0
Lumen Technologies Inc.,IDAHO,2176.20729166667,DSL,80,10.0,inf,50.0,0.0,0.0,50.0,0.0
"T-Mobile USA, Inc.",IDAHO,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,300,20.0,5000.0,65.0,0.0,0.0,65.0,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,10,1.0,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,26114.4875,Fiber,200,200.0,inf,30.0,0.0,0.0,30.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,30.0,5000.0,75.0,0.0,0.0,75.0,0.0
Lumen Technologies Inc.,IDAHO,26114.4875,Fiber,940,940.0,inf,70.0,0.0,0.0,70.0,0.0
"TDS METROCOM, LLC",IDAHO,10674.1635134302,Fiber,600,600.0,inf,78.95,0.0,2.99,81.94,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,940,50.0,5000.0,85.0,0.0,0.0,85.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,30.0,5000.0,65.0,0.0,0.0,65.0,0.0
Lumen Technologies Inc.,IDAHO,2008.80673076923,DSL,20,1.5,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,Fiber,100,100.0,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,2176.20729166667,DSL,140,20.0,inf,50.0,0.0,0.0,50.0,0.0
"T-Mobile USA, Inc.",IDAHO,14178.675,Fixed wireless,2,0.2,10.0,10.0,0.0,1.4,11.4,0.0
Lumen Technologies Inc.,IDAHO,2008.80673076923,DSL,40,3.0,inf,50.0,0.0,0.0,50.0,0.0
"T-Mobile USA, Inc.",IDAHO,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"TDS METROCOM, LLC",IDAHO,10674.1635134302,Fiber,300,300.0,inf,63.95,0.0,2.99,66.94,0.0
"TDS METROCOM, LLC",IDAHO,10674.1635134302,Fiber,8000,8000.0,inf,295.0,0.0,2.99,297.99,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,40.0,1500.0,95.0,2.75,0.0,97.75,0.0
"T-Mobile USA, Inc.",IDAHO,14178.675,Fixed wireless,2,0.2,30.0,12.5,0.0,1.4,13.9,5.0
Lumen Technologies Inc.,IDAHO,2008.80673076923,DSL,140,20.0,inf,50.0,0.0,0.0,50.0,0.0
"TDS METROCOM, LLC",IDAHO,10674.1635134302,Fiber,600,600.0,inf,78.95,0.0,2.99,81.94,0.0
"T-Mobile USA, Inc.",IDAHO,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,30.0,5000.0,65.0,2.75,0.0,67.75,0.0
Lumen Technologies Inc.,IDAHO,2176.20729166667,DSL,20,1.5,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,600,30.0,5000.0,75.0,0.0,0.0,75.0,0.0
Lumen Technologies Inc.,IDAHO,2008.80673076923,DSL,140,20.0,inf,50.0,0.0,0.0,50.0,0.0
Lumen Technologies Inc.,IDAHO,2611.44875,DSL,80,10.0,inf,50.0,0.0,0.0,50.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,940,50.0,5000.0,85.0,0.0,0.0,85.0,0.0
"Cable One, Inc.",IDAHO,10674.1635134302,Cable,940,50.0,5000.0,85.0,0.0,0.0,85.0,0.0
"T-Mobile USA, Inc.",IDAHO,4726.225,Fixed wireless,25,3.0,inf,52.5,0.0,1.4,53.9,5.0
Lumen Technologies Inc.,IDAHO,2176.20729166667,DSL,60,5.0,inf,50.0,0.0,0.0,50.0,0.0
"T-Mobile USA, Inc.",IDAHO,3544.66875,Fixed wireless,2,0.2,300.0,152.5,0.0,1.4,153.9,5.0
